Название;Описание;Цвет;Размер;Цена
2321;Халат махровый Состав:100% хлопок (махра);белый (цвет отделки в ассортименте);"86-92; 98-104";472,82;розовый1;розовый2;розовый3;розовый4;розовый5;розовый6;розовый7;розовый8;розовый9;розовый0;розовый;розовый;розовый;розовый
2321;Халат махровый Состав:100% хлопок (махра);белый (цвет отделки в ассортименте);"110-116; 122-128";570,24
2320;Халат махровый Состав:100% хлопок (махра);белый (цвет отделки персиковый);"86-92; 98-104";472,82
2320;Халат махровый Состав:100% хлопок (махра);белый (цвет отделки персиковый);"110-116; 122-128";570,24
2322;Халат махровый Состав:100% хлопок (махра);розовый;"86-92; 98-104";472,82
2322;Халат махровый Состав:100% хлопок (махра);розовый;"110-116; 122-128";570,24
2323;Халат махровый Состав:100% хлопок (махра);персиковый;"86-92; 98-104";472,82
2323;Халат махровый Состав:100% хлопок (махра);персиковый;"110-116; 122-128";570,24
2324;Халат махровый Состав:100% хлопок (махра);фиолетовый;"86-92; 98-104";472,82
2324;Халат махровый Состав:100% хлопок (махра);фиолетовый;"110-116; 122-128";570,24
2325;Халат махровый Состав:100% хлопок (махра);голубой;"86-92; 98-104";472,82
2325;Халат махровый Состав:100% хлопок (махра);голубой;"110-116; 122-128";570,24
2326;Халат махровый Состав:100% хлопок (махра);салатовый   ;"86-92; 98-104";472,82
2326;Халат махровый Состав:100% хлопок (махра);салатовый   ;"110-116; 122-128";570,24
2205;Халат велюровый Состав: 80% х/б и 20% пэ (велюр);розовый (набивка);"86-92; 98-104";451,44
2205;Халат велюровый Состав: 80% х/б и 20% пэ (велюр);розовый (набивка);"110-116; 122-128";469,26
2206;Халат велюровый Состав: 80% х/б и 20% пэ (велюр);желтый (набивка);"86-92; 98-104";451,44
2206;Халат велюровый Состав: 80% х/б и 20% пэ (велюр);желтый (набивка);"110-116; 122-128";469,26
2207;Халат велюровый Состав: 80% х/б и 20% пэ (велюр);голубой (набивка);"86-92; 98-104";451,44
2207;Халат велюровый Состав: 80% х/б и 20% пэ (велюр);голубой (набивка);"110-116; 122-128";469,26
2231;Халат велюровый Состав: 80% х/б и 20% пэ (велюр);розовый (набивка);"86-92; 98-104";451,44
2231;Халат велюровый Состав: 80% х/б и 20% пэ (велюр);розовый (набивка);"110-116; 122-128";469,26
2235;Халат велюровый Состав: 80% х/б и 20% пэ (велюр);голубой (набивка);"86-92; 98-104";451,44
2235;Халат велюровый Состав: 80% х/б и 20% пэ (велюр);голубой (набивка);"110-116; 122-128";469,26
2236;Халат велюровый Состав: 80% х/б и 20% пэ (велюр);зеленый (набивка);"86-92; 98-104";451,44
2236;Халат велюровый Состав: 80% х/б и 20% пэ (велюр);зеленый (набивка);"110-116; 122-128";469,26
2232р;Халат велюровый Состав: 80% х/б и 20% пэ (велюр);розовый (отделка набивка в тон) ;"86-92; 98-104";451,44
2232р;Халат велюровый Состав: 80% х/б и 20% пэ (велюр);розовый (отделка набивка в тон) ;"110-116; 122-128";469,26
2232н;Халат велюровый Состав: 80% х/б и 20% пэ (велюр);розовый (набивка);"86-92; 98-104";451,44
2232н;Халат велюровый Состав: 80% х/б и 20% пэ (велюр);розовый (набивка);"110-116; 122-128";469,26
2237г;Халат велюровый Состав: 80% х/б и 20% пэ (велюр);голубой (отделка набивка в тон)  ;"86-92; 98-104";451,44
2237г;Халат велюровый Состав: 80% х/б и 20% пэ (велюр);голубой (отделка набивка в тон)  ;"110-116; 122-128";469,26
2237н;Халат велюровый Состав: 80% х/б и 20% пэ (велюр);голубой (набивка);"86-92; 98-104";451,44
2237н;Халат велюровый Состав: 80% х/б и 20% пэ (велюр);голубой (набивка);"110-116; 122-128";469,26
2233;Халат велюровый Состав: 80% х/б и 20% пэ (велюр);желтый (набивка);"86-92; 98-104";451,44
2233;Халат велюровый Состав: 80% х/б и 20% пэ (велюр);желтый (набивка);"110-116; 122-128";469,26
2301;Полотенце махровое  Состав:100% хлопок (махра);в ассортименте;30*60;89,1
2302;Полотенце махровое  Состав:100% хлопок (махра);в ассортименте;90*120;346,9
2305;Полотенце махровое с капюшоном Состав:100% хлопок (махра);в ассортименте;80*80;235,22
2311;Полотенце Крестильное с капюшоном Состав:100% хлопок (махра+шитье);в ассортименте;80*80;308,88
2308;Рукавичка махровая Состав:100% хлопок (махра);в ассортименте;*;89,1
2306;Комплект: полотенце с капюшоном 80х80 +  рукавичка Состав:100% хлопок (махра);в ассортименте;80*80;324,32
2304;Набор полотенец      (90 х 120 - 1 шт., 30 х 60 - 2 шт.) Состав:100% хлопок (махра);в ассортименте;*;520,34
